Namespace(arch='resnet18', batch_size=64, ckpt=None, data_dir='/home/aamich/fall21/CycleGAN_pix2pix/MNIST', dataset='MNIST', epochs=500, exp_name='train_MNIST', in_channel=1, lr=0.5, method='SupCon', momentum=0.9, normalize=False, num_classes=10, print_freq=100, results_dir='/home/aamich/fall21/SSD', save_freq=1, seed=12345, size=28, temperature=0.5, training_mode='SimCLR', warmup=True, weight_decay=0.0001)
Epoch 137, validation accuracy 94.83, best_prec 96.42999999999999
Epoch 138, validation accuracy 95.54, best_prec 96.42999999999999
Epoch 139, validation accuracy 95.76, best_prec 96.42999999999999
Epoch 140, validation accuracy 96.03999999999999, best_prec 96.42999999999999
Epoch 141, validation accuracy 95.78, best_prec 96.42999999999999
Epoch 142, validation accuracy 95.00999999999999, best_prec 96.42999999999999
Epoch 143, validation accuracy 95.64, best_prec 96.42999999999999
Epoch 144, validation accuracy 95.16, best_prec 96.42999999999999
Epoch 145, validation accuracy 95.57, best_prec 96.42999999999999
Epoch 146, validation accuracy 95.7, best_prec 96.42999999999999
Epoch 147, validation accuracy 95.94999999999999, best_prec 96.42999999999999
Epoch 148, validation accuracy 95.55999999999999, best_prec 96.42999999999999
Epoch 149, validation accuracy 95.30000000000001, best_prec 96.42999999999999
Epoch 150, validation accuracy 95.66, best_prec 96.42999999999999
Epoch 151, validation accuracy 94.34000000000002, best_prec 96.42999999999999
Epoch 152, validation accuracy 95.64, best_prec 96.42999999999999
Epoch 153, validation accuracy 95.08000000000001, best_prec 96.42999999999999
Epoch 154, validation accuracy 95.64, best_prec 96.42999999999999
Epoch 155, validation accuracy 95.30000000000001, best_prec 96.42999999999999
Epoch 156, validation accuracy 95.34, best_prec 96.42999999999999
Epoch 157, validation accuracy 95.46, best_prec 96.42999999999999
Epoch 158, validation accuracy 95.72, best_prec 96.42999999999999
Epoch 159, validation accuracy 95.41000000000001, best_prec 96.42999999999999
Epoch 160, validation accuracy 95.48, best_prec 96.42999999999999
Epoch 161, validation accuracy 94.9, best_prec 96.42999999999999
Epoch 162, validation accuracy 95.25, best_prec 96.42999999999999
Epoch 163, validation accuracy 95.47000000000001, best_prec 96.42999999999999
Epoch 164, validation accuracy 95.35, best_prec 96.42999999999999
Epoch 165, validation accuracy 95.17, best_prec 96.42999999999999
Epoch 166, validation accuracy 95.46, best_prec 96.42999999999999
Epoch 167, validation accuracy 95.13999999999999, best_prec 96.42999999999999
Epoch 168, validation accuracy 95.1, best_prec 96.42999999999999
Epoch 169, validation accuracy 95.81, best_prec 96.42999999999999
Epoch 170, validation accuracy 95.22, best_prec 96.42999999999999
Epoch 171, validation accuracy 95.64, best_prec 96.42999999999999
Epoch 172, validation accuracy 95.58, best_prec 96.42999999999999
Epoch 173, validation accuracy 95.28000000000002, best_prec 96.42999999999999
Epoch 174, validation accuracy 95.32000000000001, best_prec 96.42999999999999
Epoch 175, validation accuracy 95.43000000000002, best_prec 96.42999999999999
Epoch 176, validation accuracy 95.74000000000001, best_prec 96.42999999999999
Epoch 177, validation accuracy 95.30999999999999, best_prec 96.42999999999999
Epoch 178, validation accuracy 95.71, best_prec 96.42999999999999
Epoch 179, validation accuracy 95.89000000000001, best_prec 96.42999999999999
Epoch 180, validation accuracy 94.79, best_prec 96.42999999999999
Epoch 181, validation accuracy 95.0, best_prec 96.42999999999999
Epoch 182, validation accuracy 95.22, best_prec 96.42999999999999
Epoch 183, validation accuracy 95.39999999999999, best_prec 96.42999999999999
Epoch 184, validation accuracy 95.85000000000001, best_prec 96.42999999999999
Epoch 185, validation accuracy 95.77000000000002, best_prec 96.42999999999999
Epoch 186, validation accuracy 95.39999999999999, best_prec 96.42999999999999
Epoch 187, validation accuracy 95.58, best_prec 96.42999999999999
Epoch 188, validation accuracy 95.21, best_prec 96.42999999999999
Epoch 189, validation accuracy 95.87999999999998, best_prec 96.42999999999999
Epoch 190, validation accuracy 95.28999999999999, best_prec 96.42999999999999
Epoch 191, validation accuracy 95.81, best_prec 96.42999999999999
Epoch 192, validation accuracy 95.97, best_prec 96.42999999999999
Epoch 193, validation accuracy 95.33000000000001, best_prec 96.42999999999999
Epoch 194, validation accuracy 95.87999999999998, best_prec 96.42999999999999
Epoch 195, validation accuracy 95.86, best_prec 96.42999999999999
Epoch 196, validation accuracy 95.44, best_prec 96.42999999999999
Epoch 197, validation accuracy 95.52, best_prec 96.42999999999999
Epoch 198, validation accuracy 95.32000000000001, best_prec 96.42999999999999
Epoch 199, validation accuracy 95.67999999999999, best_prec 96.42999999999999
Epoch 200, validation accuracy 95.91, best_prec 96.42999999999999
Epoch 201, validation accuracy 95.78, best_prec 96.42999999999999
Epoch 202, validation accuracy 95.5, best_prec 96.42999999999999
Epoch 203, validation accuracy 95.85000000000001, best_prec 96.42999999999999
Epoch 204, validation accuracy 95.41999999999999, best_prec 96.42999999999999
Epoch 205, validation accuracy 96.32, best_prec 96.42999999999999
Epoch 206, validation accuracy 95.28999999999999, best_prec 96.42999999999999
Epoch 207, validation accuracy 96.17000000000002, best_prec 96.42999999999999
Epoch 208, validation accuracy 95.41000000000001, best_prec 96.42999999999999
Epoch 209, validation accuracy 95.67, best_prec 96.42999999999999
Epoch 210, validation accuracy 94.97, best_prec 96.42999999999999
Epoch 211, validation accuracy 95.60000000000001, best_prec 96.42999999999999
Epoch 212, validation accuracy 95.44, best_prec 96.42999999999999
Epoch 213, validation accuracy 95.64999999999999, best_prec 96.42999999999999
Epoch 214, validation accuracy 94.55, best_prec 96.42999999999999
Epoch 215, validation accuracy 95.52, best_prec 96.42999999999999
Epoch 216, validation accuracy 95.76, best_prec 96.42999999999999
Epoch 217, validation accuracy 95.02000000000001, best_prec 96.42999999999999
Epoch 218, validation accuracy 96.06, best_prec 96.42999999999999
Epoch 219, validation accuracy 95.94999999999999, best_prec 96.42999999999999
Epoch 220, validation accuracy 95.73, best_prec 96.42999999999999
Epoch 221, validation accuracy 94.83, best_prec 96.42999999999999
Epoch 222, validation accuracy 95.61999999999999, best_prec 96.42999999999999
Epoch 223, validation accuracy 95.67999999999999, best_prec 96.42999999999999
Epoch 224, validation accuracy 95.59, best_prec 96.42999999999999
Epoch 225, validation accuracy 94.48, best_prec 96.42999999999999
Epoch 226, validation accuracy 95.76, best_prec 96.42999999999999
Epoch 227, validation accuracy 95.79, best_prec 96.42999999999999
Epoch 228, validation accuracy 96.68, best_prec 96.68
Epoch 229, validation accuracy 95.39, best_prec 96.68
Epoch 230, validation accuracy 95.87999999999998, best_prec 96.68
